지역,latitude,longitude,날짜,연도,분기,지표,값
충청북도,36.6297,127.921,2018-01-01,2018,Q1,순이동률,0.2
충청남도,36.6353,126.7404,2018-01-01,2018,Q1,순이동률,0.6
전북특별자치도,35.8175,127.14,2018-01-01,2018,Q1,순이동률,-1.1
전라남도,34.8006,126.2994,2018-01-01,2018,Q1,순이동률,-0.9
경상북도,36.1584,128.7364,2018-01-01,2018,Q1,순이동률,-0.9
경상남도,35.2354,128.6922,2018-01-01,2018,Q1,순이동률,-0.3
제주특별자치도,33.4996,126.5312,2018-01-01,2018,Q1,순이동률,2.0
행정구역(시도)별,,,2018-04-01,2018,Q2,전입률,총전입률(%)
전국,,,2018-04-01,2018,Q2,전입률,13.6
서울특별시,,,2018-04-01,2018,Q2,전입률,14.3
부산광역시,35.1796,129.0756,2018-04-01,2018,Q2,전입률,12.2
대구광역시,35.8714,128.6014,2018-04-01,2018,Q2,전입률,12.6
인천광역시,37.4563,126.7052,2018-04-01,2018,Q2,전입률,14.6
광주광역시,35.1595,126.8526,2018-04-01,2018,Q2,전입률,14.3
대전광역시,36.3504,127.3845,2018-04-01,2018,Q2,전입률,13.4
울산광역시,35.5384,129.3114,2018-04-01,2018,Q2,전입률,10.6
세종특별자치시,36.48,127.289,2018-04-01,2018,Q2,전입률,30.4
경기도,37.4138,127.5183,2018-04-01,2018,Q2,전입률,15.0
강원특별자치도,37.8225,128.1555,2018-04-01,2018,Q2,전입률,12.7
충청북도,36.6297,127.921,2018-04-01,2018,Q2,전입률,12.1
충청남도,36.6353,126.7404,2018-04-01,2018,Q2,전입률,13.9
전북특별자치도,35.8175,127.14,2018-04-01,2018,Q2,전입률,12.8
전라남도,34.8006,126.2994,2018-04-01,2018,Q2,전입률,10.9
경상북도,36.1584,128.7364,2018-04-01,2018,Q2,전입률,11.3
경상남도,35.2354,128.6922,2018-04-01,2018,Q2,전입률,11.3
제주특별자치도,33.4996,126.5312,2018-04-01,2018,Q2,전입률,14.3
행정구역(시도)별,,,2018-04-01,2018,Q2,전출률,총전출률(%)
전국,,,2018-04-01,2018,Q2,전출률,13.6
서울특별시,,,2018-04-01,2018,Q2,전출률,15.5
부산광역시,35.1796,129.0756,2018-04-01,2018,Q2,전출률,13.1
대구광역시,35.8714,128.6014,2018-04-01,2018,Q2,전출률,13.1
인천광역시,37.4563,126.7052,2018-04-01,2018,Q2,전출률,14.5
광주광역시,35.1595,126.8526,2018-04-01,2018,Q2,전출률,14.8
대전광역시,36.3504,127.3845,2018-04-01,2018,Q2,전출률,14.3
울산광역시,35.5384,129.3114,2018-04-01,2018,Q2,전출률,11.8
세종특별자치시,36.48,127.289,2018-04-01,2018,Q2,전출률,18.8
경기도,37.4138,127.5183,2018-04-01,2018,Q2,전출률,13.7
강원특별자치도,37.8225,128.1555,2018-04-01,2018,Q2,전출률,12.9
충청북도,36.6297,127.921,2018-04-01,2018,Q2,전출률,11.9
충청남도,36.6353,126.7404,2018-04-01,2018,Q2,전출률,13.4
전북특별자치도,35.8175,127.14,2018-04-01,2018,Q2,전출률,13.4
전라남도,34.8006,126.2994,2018-04-01,2018,Q2,전출률,11.2
경상북도,36.1584,128.7364,2018-04-01,2018,Q2,전출률,11.6
경상남도,35.2354,128.6922,2018-04-01,2018,Q2,전출률,11.3
제주특별자치도,33.4996,126.5312,2018-04-01,2018,Q2,전출률,12.7
행정구역(시도)별,,,2018-04-01,2018,Q2,순이동률,순이동률(%)
전국,,,2018-04-01,2018,Q2,순이동률,0.0
서울특별시,,,2018-04-01,2018,Q2,순이동률,-1.2
부산광역시,35.1796,129.0756,2018-04-01,2018,Q2,순이동률,-0.9
대구광역시,35.8714,128.6014,2018-04-01,2018,Q2,순이동률,-0.5
인천광역시,37.4563,126.7052,2018-04-01,2018,Q2,순이동률,0.1
광주광역시,35.1595,126.8526,2018-04-01,2018,Q2,순이동률,-0.5
대전광역시,36.3504,127.3845,2018-04-01,2018,Q2,순이동률,-0.9
울산광역시,35.5384,129.3114,2018-04-01,2018,Q2,순이동률,-1.2
세종특별자치시,36.48,127.289,2018-04-01,2018,Q2,순이동률,11.6
경기도,37.4138,127.5183,2018-04-01,2018,Q2,순이동률,1.3
강원특별자치도,37.8225,128.1555,2018-04-01,2018,Q2,순이동률,-0.2
충청북도,36.6297,127.921,2018-04-01,2018,Q2,순이동률,0.2
충청남도,36.6353,126.7404,2018-04-01,2018,Q2,순이동률,0.5
전북특별자치도,35.8175,127.14,2018-04-01,2018,Q2,순이동률,-0.6
전라남도,34.8006,126.2994,2018-04-01,2018,Q2,순이동률,-0.3
경상북도,36.1584,128.7364,2018-04-01,2018,Q2,순이동률,-0.2
경상남도,35.2354,128.6922,2018-04-01,2018,Q2,순이동률,0.0
제주특별자치도,33.4996,126.5312,2018-04-01,2018,Q2,순이동률,1.7
행정구역(시도)별,,,2018-07-01,2018,Q3,전입률,총전입률(%)
전국,,,2018-07-01,2018,Q3,전입률,12.5
서울특별시,,,2018-07-01,2018,Q3,전입률,13.3
부산광역시,35.1796,129.0756,2018-07-01,2018,Q3,전입률,10.8
대구광역시,35.8714,128.6014,2018-07-01,2018,Q3,전입률,11.7
인천광역시,37.4563,126.7052,2018-07-01,2018,Q3,전입률,11.9
광주광역시,35.1595,126.8526,2018-07-01,2018,Q3,전입률,13.8
대전광역시,36.3504,127.3845,2018-07-01,2018,Q3,전입률,13.2
울산광역시,35.5384,129.3114,2018-07-01,2018,Q3,전입률,9.5
세종특별자치시,36.48,127.289,2018-07-01,2018,Q3,전입률,27.1
경기도,37.4138,127.5183,2018-07-01,2018,Q3,전입률,14.4
강원특별자치도,37.8225,128.1555,2018-07-01,2018,Q3,전입률,12.3
충청북도,36.6297,127.921,2018-07-01,2018,Q3,전입률,11.4
충청남도,36.6353,126.7404,2018-07-01,2018,Q3,전입률,12.3
전북특별자치도,35.8175,127.14,2018-07-01,2018,Q3,전입률,11.1
전라남도,34.8006,126.2994,2018-07-01,2018,Q3,전입률,10.2
경상북도,36.1584,128.7364,2018-07-01,2018,Q3,전입률,9.9
경상남도,35.2354,128.6922,2018-07-01,2018,Q3,전입률,10.2
제주특별자치도,33.4996,126.5312,2018-07-01,2018,Q3,전입률,13.2
행정구역(시도)별,,,2018-07-01,2018,Q3,전출률,총전출률(%)
전국,,,2018-07-01,2018,Q3,전출률,12.5
서울특별시,,,2018-07-01,2018,Q3,전출률,14.3
부산광역시,35.1796,129.0756,2018-07-01,2018,Q3,전출률,11.4
대구광역시,35.8714,128.6014,2018-07-01,2018,Q3,전출률,12.3
인천광역시,37.4563,126.7052,2018-07-01,2018,Q3,전출률,12.2
